iter	Passed	Remaining
0	46	46331
1	62	31232
2	79	26296
3	94	23635
4	111	22182
5	127	21179
6	143	20403
7	160	19850
8	180	19916
9	202	19998
10	225	20237
11	244	20100
12	262	19895
13	278	19602
14	305	20031
15	322	19821
16	338	19596
17	354	19366
18	377	19510
19	398	19525
20	416	19407
21	433	19290
22	452	19222
23	477	19409
24	494	19268
25	510	19120
26	526	18981
27	543	18865
28	559	18743
29	582	18826
30	603	18854
31	622	18825
32	639	18743
33	658	18709
34	682	18807
35	699	18734
36	720	18750
37	745	18881
38	762	18796
39	784	18819
40	803	18796
41	823	18786
42	840	18715
43	864	18789
44	884	18775
45	902	18710
46	918	18619
47	936	18565
48	960	18637
49	982	18662
50	1003	18670
51	1021	18625
52	1038	18560
53	1057	18523
54	1085	18647
55	1103	18602
56	1119	18526
57	1136	18454
58	1152	18387
59	1168	18314
60	1191	18334
61	1210	18307
62	1229	18283
63	1247	18239
64	1294	18620
65	1310	18548
66	1327	18479
67	1343	18412
68	1359	18345
69	1380	18336
70	1401	18337
71	1419	18291
72	1437	18249
73	1455	18210
74	1472	18156
75	1499	18226
76	1516	18173
77	1532	18115
78	1548	18050
79	1564	17996
80	1585	17983
81	1605	17975
82	1624	17948
83	1642	17905
84	1660	17871
85	1678	17835
86	1695	17795
87	1723	17860
88	1740	17815
89	1756	17761
90	1775	17733
91	1796	17729
92	1814	17696
93	1832	17662
94	1849	17622
95	1867	17589
96	1885	17555
97	1913	17612
98	1930	17570
99	1946	17522
100	1967	17516
101	1988	17510
102	2005	17463
103	2023	17431
104	2041	17405
105	2059	17367
106	2078	17343
107	2102	17361
108	2118	17320
109	2135	17274
110	2151	17228
111	2171	17217
112	2192	17211
113	2210	17181
114	2227	17141
115	2244	17103
116	2261	17067
117	2280	17044
118	2315	17143
119	2333	17111
120	2352	17086
121	2370	17057
122	2388	17033
123	2409	17022
124	2431	17022
125	2465	17105
126	2482	17062
127	2497	17013
128	2525	17048
129	2545	17035
130	2559	16980
131	2574	16927
132	2588	16875
133	2628	16985
134	2646	16956
135	2664	16926
136	2679	16881
137	2697	16849
138	2717	16833
139	2733	16791
140	2748	16742
141	2762	16691
142	2776	16641
143	2791	16592
144	2805	16544
145	2826	16530
146	2843	16501
147	2860	16464
148	2876	16428
149	2891	16384
150	2913	16382
151	2928	16339
152	2943	16294
153	2957	16246
154	2972	16202
155	2986	16157
156	3000	16112
157	3015	16069
158	3036	16063
159	3055	16043
160	3072	16013
161	3088	15974
162	3104	15942
163	3128	15949
164	3144	15914
165	3159	15874
166	3174	15832
167	3188	15790
168	3203	15750
169	3215	15698
170	3231	15666
171	3245	15625
172	3259	15582
173	3272	15534
174	3285	15490
175	3301	15459
176	3318	15431
177	3331	15384
178	3343	15334
179	3355	15285
180	3367	15237
181	3379	15189
182	3391	15141
183	3404	15096
184	3415	15048
185	3431	15017
186	3446	14985
187	3463	14959
188	3478	14926
189	3490	14880
190	3502	14834
191	3514	14789
192	3526	14744
193	3538	14699
194	3550	14655
195	3562	14612
196	3573	14568
197	3585	14524
198	3597	14481
199	3609	14439
200	3647	14498
201	3662	14466
